project,exists,stars,license,data_type,mechanism,features,label,execution_model,cost_model,adverse_selection,queue_model,oos_protocol,transfer_to_v3,predicts,earns
"dshan12/Market-Microstructure","EXISTS","0","none","real L1 top-of-book + trades (Kraken BTC/ETH)","book-depth imbalance I_t regressed on forward mid returns (r=0.166-0.282; half-life 24.5-524s); two-sided MM simulation","depth imbalance I_t","forward mid return 1/5/10/30/60 s","two-sided market-making sim (inventory)","NOT quantified","NO","NO","NO (no IS/OOS split)","PARTIAL","forward mid return (direction)","inventory appreciation 83-87%; spread capture minor"
"nsoxbekdn/microstructure-lab","EXISTS","1","MIT","SYNTHETIC multi-level FIFO LOB","multi-level LOB + execution simulator scoring implementation shortfall / VWAP slippage / sqrt impact; OFI->return regression explicitly not an edge claim","book state, OFI","implementation shortfall, fill quality","Immediate/TWAP/VWAP/POV/passive","fees simplified","YES (discussed)","YES (FIFO sim)","NO","PARTIAL","execution quality (not direction)","nothing (execution research)"
"sauloduttra/ofi-signal","EXISTS","0","MIT","SYNTHETIC latent-alpha LOB (L1)","clean CKS-2014 OFI vs TFI head-to-head; R2=0.974 vs 0.000 (synthetic)","OFI, TFI","forward return (synthetic latent alpha)","none","none","NO","NO","NO","DATA_GAP","(synthetic) forward return","nothing (method demo)"
"lukeyin08/Order-Flow-Imbalance","EXISTS","0","MIT","real trades + L2 (Binance.US)","OFI -> next-1s move; taker edge vs round-trip cost; Avellaneda-Stoikov maker inventory control","multi-level OFI","next-1s mid return, trade direction","taker market order + A-S maker","YES: taker edge 0.09 tick vs 2.48-tick RT cost -> 0 trades","NO (queue named only)","NO","YES (70/30 IS/OOS, HAC)","PARTIAL","next-1s move / direction","maker inventory + spread; taker NOT executable"
"twowaymind/orderflow-metrics","EXISTS","11","MIT","library (asset-agnostic)","microstructure metrics library: OFI, multi-level OFI, VPIN, Kyle lambda, markouts, Almgren-Chriss, TWAP/POV","OFI, VPIN, Kyle lambda, markout","markout profiles","read-only simulator","NO (fees not modeled)","YES (markouts)","NO","NO","PARTIAL","metrics only (no model)","nothing (tooling)"
"intrepidkarthi/orderbook","EXISTS","16","MIT","matching-engine harness (crypto)","integer-exact matching engine; studies mostly REFUTE popular claims; OFI contemporaneous R2~0.24 vs predictive R2~0.0004","OFI","next move (largely not predicted)","engine + simulator backtest","NO fees","NO","NO","DATA_GAP","PARTIAL","next move (predictive largely NOT supported)","nothing (refutation harness)"
"Hellblazer704/nanolob","EXISTS","0","none","real L2 (Binance BTCUSDT, 100ms diffs)","low-latency LOB replay + Avellaneda-Stoikov maker vs naive; FIFO queue-position fill model","imbalance, inventory","inventory PnL, fill position","maker (passive)","NO fees/rebates (gross only)","YES (markouts)","YES (FIFO queue)","NO (single 25-min session)","PARTIAL","inventory/vol-aware quoting (not direction)","spread capture ~-0.01 vs inventory -23.57 USDT (gross, negative)"
"tradingexpert/ordersim","EXISTS","2","MIT","real MBO (Databento) or L2->virtual MBO (Binance)","deterministic execution simulator; queue-ahead + constant latency models; 99.9708% trade alignment","book state","passive fill probability / filled qty / time-to-fill","passive/limit","YES (commission in spec)","YES (AS demo)","YES (queue-ahead)","NO (no ML/IS-OOS label pipeline)","PARTIAL","fill probability / execution realism","nothing (execution-realism audit tool)"
"jaefit/deep-ofi","EXISTS","1","none","real L2 (Binance depth20@100ms)","3-class short-horizon mid direction; tests if CKS OFI is a sufficient statistic for the raw book; pre-registered leak-free temporal split","OFI, queue imbalance, PCA controls","1-10 s mid direction (3-class)","none","NO","NO","NO (no queue)","YES (pre-registered temporal split)","PARTIAL","1-10 s mid direction","nothing (result REFUTED OFI sufficiency)"
"MaharshKhatri/lob-simulator","EXISTS","0","MIT","SYNTHETIC continuous-double-auction LOB","Monte-Carlo fill-probability P(fill|queue rank, spread) + Avellaneda-Stoikov MM","queue rank, spread, imbalance","fill probability, inventory","maker (passive)","0.3 bps/fill adverse-selection cost (synthetic)","YES","YES (queue rank)","NO","PARTIAL","fill probability / spread capture","spread capture + liquidity provision (synthetic: Sharpe 3.4, 61% fill)"
"1816x/Trading-Microstructure-Engine","EXISTS","1","MIT","real ticks (crypto)","tick->Rust per-1s descriptive metrics; its 'OFI' is trade-based volume imbalance (buy-sell)/(buy+sell), NOT CKS OFI; README: no prediction, no advice","volume imbalance, realized vol, VWAP","none","none","NO","NO","NO","NO","NOT_SUPPORTED","(explicitly none)","nothing"
